sport,epreuve,classement,medaille,equipe,participant,resultats,note
Boxe,Poids lourds 92kg hommes,1,O,UZB,Lazizbek MULLOJONOV,,
Boxe,Poids lourds 92kg hommes,2,A,AZE,Loren Berto ALFONSO DOMINGUEZ,,
Boxe,Poids lourds 92kg hommes,3,B,TJK,Davlat BOLTAEV,,
Boxe,Poids lourds 92kg hommes,4,B,ESP,Enmanuel REYES PLA,,
Boxe,Poids lourds 92kg hommes,5,=5,BRA,Keno MACHADO,,
Boxe,Poids lourds 92kg hommes,6,=5,KAZ,Aibek ORALBAY,,
Boxe,Poids lourds 92kg hommes,7,=5,IRL,Jack MARLEY,,
Boxe,Poids lourds 92kg hommes,8,=5,BEL,Victor SCHELSTRAETE,,
Boxe,Poids lourds 92kg hommes,9,=9,ITA,Aziz Abbes MOUHIIDINE,,
Boxe,Poids lourds 92kg hommes,10,=9,CUB,Julio Cesar LA CRUZ PERAZA,,
Boxe,Poids lourds 92kg hommes,11,=9,GEO,Georgii KUSHITASHVILI,,
Boxe,Poids lourds 92kg hommes,12,=9,CHN,Xuezhen HAN,,
Boxe,Poids lourds 92kg hommes,13,=9,GBR,Patrick James BROWN,,
Boxe,Poids lourds 92kg hommes,14,=9,NGR,Olaitan Adam OLAORE,,
Boxe,Poids lourds 92kg hommes,15,=9,POL,Mateusz BEREZNICKI,,
Boxe,Poids lourds 92kg hommes,16,=9,SAM,Ato Leau PLODZICKI-FAOAGALI,,
Canoe-sprint,C2 500m femmes,1,O,CHN,Shixiao XU / Mengya SUN,,
Canoe-sprint,C2 500m femmes,2,A,UKR,Liudmyla LUZAN / Anastasiia CHETVERIKOVA,,
Canoe-sprint,C2 500m femmes,3,B,CAN,Sloan MACKENZIE / Katie VINCENT,,
Canoe-sprint,C2 500m femmes,4,4,HUN,Agnes Anna KISS / Bianka NAGY,,
Canoe-sprint,C2 500m femmes,5,5,POL,Sylwia SZCZERBINSKA / Dorota BOROWSKA,,
Canoe-sprint,C2 500m femmes,6,6,ESP,Antia JACOME / Maria CORBERA,,
Canoe-sprint,C2 500m femmes,7,7,MDA,Daniela COCIU / Maria OLARASU,,
Canoe-sprint,C2 500m femmes,8,8,CUB,Yarisleidis CIRILO DUBOYS / Yinnoly Francheska LOPEZ LAMADRID,,
Canoe-sprint,C2 500m femmes,9,9,GER,Lisa JAHN / Hedi Moana KLIEMKE,1:56.48,
Canoe-sprint,C2 500m femmes,10,10,FRA,Axelle RENARD / Eugenie DORANGE,1:57.02,
